iter	Passed	Remaining
0	148	148263
1	149	74389
2	149	49749
3	150	37422
4	150	30034
5	151	25102
6	152	21573
7	152	18927
8	153	16872
9	153	15226
10	154	13881
11	155	12765
12	155	11822
13	156	11013
14	156	10305
15	157	9688
16	158	9150
17	159	8684
18	160	8261
19	160	7870
20	161	7517
21	161	7196
22	162	6904
23	163	6634
24	163	6387
25	164	6161
26	165	5950
27	165	5753
28	166	5569
29	166	5399
30	167	5240
31	168	5091
32	168	4950
33	169	4817
34	170	4693
35	170	4573
36	171	4462
37	172	4357
38	172	4257
39	173	4163
40	174	4074
41	174	3990
42	175	3910
43	176	3833
44	177	3757
45	177	3684
46	178	3614
47	178	3549
48	179	3484
49	180	3422
50	180	3363
51	181	3307
52	182	3252
53	182	3200
54	183	3150
55	183	3101
56	184	3053
57	185	3007
58	185	2962
59	186	2922
60	187	2883
61	188	2844
62	188	2806
63	189	2770
64	190	2733
65	190	2697
66	191	2662
67	191	2628
68	192	2595
69	193	2564
70	193	2533
71	194	2503
72	194	2474
73	195	2446
74	196	2419
75	196	2392
76	197	2366
77	198	2341
78	198	2316
79	199	2292
80	200	2269
81	200	2246
82	200	2220
83	201	2197
84	202	2179
85	203	2158
86	203	2139
87	204	2120
88	205	2101
89	205	2082
90	206	2064
91	207	2047
92	207	2028
93	208	2011
94	209	1993
95	209	1976
96	210	1960
97	211	1944
98	211	1928
99	212	1913
100	213	1898
101	214	1884
102	214	1870
103	215	1856
104	216	1842
105	217	1830
106	217	1817
107	218	1803
108	219	1791
109	219	1778
110	220	1765
111	221	1752
112	221	1739
113	222	1726
114	222	1714
115	223	1702
116	223	1690
117	224	1679
118	225	1667
119	225	1656
120	226	1646
121	227	1634
122	227	1624
123	228	1613
124	229	1603
125	229	1593
126	230	1582
127	230	1572
128	231	1563
129	232	1553
130	233	1546
131	233	1537
132	234	1528
133	235	1519
134	235	1510
135	236	1502
136	237	1493
137	237	1484
138	238	1476
139	238	1467
140	239	1459
141	239	1449
142	240	1441
143	241	1434
144	241	1426
145	242	1418
146	243	1410
147	243	1404
148	244	1396
149	245	1389
150	246	1383
151	246	1376
152	247	1370
153	248	1362
154	248	1355
155	249	1348
156	249	1341
157	250	1334
158	251	1327
159	251	1321
160	252	1314
161	252	1308
162	253	1301
163	254	1295
164	254	1289
165	255	1283
166	256	1276
167	256	1271
168	257	1265
169	257	1259
170	258	1253
171	259	1248
172	260	1243
173	260	1238
174	261	1232
175	262	1227
176	262	1221
177	263	1216
178	264	1211
179	264	1206
180	265	1201
181	266	1196
182	266	1191
183	267	1186
184	268	1181
185	268	1176
186	269	1171
187	270	1166
188	270	1161
189	271	1156
190	271	1151
191	272	1147
192	273	1142
193	273	1138
194	274	1134
195	275	1130
196	276	1125
197	276	1121
198	277	1116
199	278	1112
200	278	1107
201	279	1103
202	279	1098
203	280	1094
204	281	1090
205	281	1086
206	282	1082
207	283	1078
208	283	1073
209	284	1069
210	285	1065
211	285	1061
212	286	1057
213	286	1053
214	287	1050
215	288	1046
216	289	1042
217	289	1039
218	290	1035
219	290	1031
220	291	1027
221	292	1023
222	292	1020
223	293	1016
224	293	1012
225	294	1008
226	295	1005
227	296	1002
228	296	999
229	297	995
230	298	992
231	298	989
232	299	985
233	300	982
234	300	978
235	301	975
236	302	972
237	302	969
238	303	966
239	304	962
240	304	960
241	305	957
242	306	953
243	306	950
244	307	947
245	308	944
246	308	941
247	309	937
248	309	934
249	310	931
250	311	928
251	311	925
252	312	922
253	312	919
254	313	916
255	314	913
256	314	910
257	315	907
258	316	904
259	316	901
260	317	899
261	318	896
262	319	894
263	319	891
264	320	888
265	320	885
266	321	882
267	322	880
268	323	877
269	323	875
270	324	872
271	324	869
272	325	867
273	326	864
274	326	861
275	327	859
276	328	856
277	328	853
278	329	850
279	329	848
280	330	845
281	331	843
282	332	841
283	332	838
284	333	836
285	333	833
286	334	831
287	335	828
288	336	826
289	336	824
290	337	821
291	337	819
292	338	817
293	339	814
294	339	812
295	340	809
296	341	807
297	341	804
298	342	801
299	342	799
300	343	796
301	343	794
302	344	792
303	345	790
304	345	788
