iter	Passed	Remaining
0	0	78
1	1	74
2	2	70
3	2	68
4	3	66
5	4	63
6	4	61
7	5	60
8	5	59
9	6	59
10	7	58
11	7	58
12	8	57
13	9	57
14	9	56
15	10	55
16	11	54
17	11	54
18	12	53
19	13	52
20	13	51
21	14	50
22	14	50
23	15	49
24	16	48
25	16	47
26	17	47
27	18	46
28	18	45
29	19	45
30	19	44
31	20	43
32	21	43
33	21	42
34	22	41
35	22	40
36	23	40
37	24	39
38	24	38
39	25	38
40	26	37
41	26	36
42	27	35
43	27	35
44	28	34
45	29	34
46	29	33
47	30	32
48	30	32
49	31	31
50	32	30
51	32	30
52	33	29
53	33	28
54	34	27
55	34	27
56	35	26
57	35	25
58	36	25
59	36	24
60	37	23
61	37	23
62	38	22
63	38	21
64	39	21
65	39	20
66	40	19
67	41	19
68	41	18
69	42	18
70	42	17
71	43	16
72	43	16
73	44	15
74	45	15
75	45	14
76	46	13
77	46	13
78	47	12
79	47	11
80	48	11
81	48	10
82	49	10
83	49	9
84	50	8
85	50	8
86	51	7
87	51	7
88	52	6
89	53	5
90	53	5
91	54	4
92	54	4
93	55	3
94	55	2
95	56	2
96	56	1
97	57	1
98	57	0
99	58	0
